"","lat","lon"
"523",39.198682456,-74.825126194
"524",39.198682456,-74.824126194
"525",39.198682456,-74.823126194
"526",39.198682456,-74.822126194
"527",39.198682456,-74.821126194
"528",39.198682456,-74.820126194
"529",39.198682456,-74.819126194
"530",39.198682456,-74.818126194
"531",39.198682456,-74.817126194
"532",39.198682456,-74.816126194
"533",39.198682456,-74.815126194
"534",39.198682456,-74.814126194
"535",39.198682456,-74.813126194
"536",39.198682456,-74.812126194
"537",39.198682456,-74.811126194
"538",39.198682456,-74.810126194
"539",39.198682456,-74.809126194
"540",39.198682456,-74.808126194
"541",39.198682456,-74.807126194
"542",39.198682456,-74.806126194
"543",39.198682456,-74.805126194
"544",39.198682456,-74.804126194
"545",39.198682456,-74.803126194
"546",39.198682456,-74.802126194
"547",39.198682456,-74.801126194
"548",39.198682456,-74.800126194
"549",39.198682456,-74.799126194
"550",39.198682456,-74.798126194
"551",39.198682456,-74.797126194
"552",39.198682456,-74.796126194
"553",39.198682456,-74.795126194
"554",39.198682456,-74.794126194
"555",39.198682456,-74.793126194
"556",39.198682456,-74.792126194
"557",39.198682456,-74.791126194
"558",39.198682456,-74.790126194
"559",39.198682456,-74.789126194
"560",39.198682456,-74.788126194
"561",39.198682456,-74.787126194
"562",39.198682456,-74.786126194
"563",39.198682456,-74.785126194
"564",39.198682456,-74.784126194
"565",39.198682456,-74.783126194
"566",39.198682456,-74.782126194
"567",39.198682456,-74.781126194
"568",39.198682456,-74.780126194
"569",39.198682456,-74.779126194
"570",39.198682456,-74.778126194
"571",39.198682456,-74.777126194
"572",39.198682456,-74.776126194
"573",39.198682456,-74.775126194
"574",39.198682456,-74.774126194
"575",39.198682456,-74.773126194
"576",39.198682456,-74.772126194
"577",39.198682456,-74.771126194
"578",39.198682456,-74.770126194
"579",39.198682456,-74.769126194
"580",39.198682456,-74.768126194
"581",39.198682456,-74.767126194
"582",39.198682456,-74.766126194
"583",39.198682456,-74.765126194
"584",39.198682456,-74.764126194
"585",39.198682456,-74.763126194
"586",39.198682456,-74.762126194
"587",39.198682456,-74.761126194
"588",39.198682456,-74.760126194
"589",39.198682456,-74.759126194
"590",39.198682456,-74.758126194
"591",39.198682456,-74.757126194
"592",39.198682456,-74.756126194
"593",39.198682456,-74.755126194
"594",39.198682456,-74.754126194
"595",39.198682456,-74.753126194
"596",39.198682456,-74.752126194
"597",39.198682456,-74.751126194
"598",39.198682456,-74.750126194
"599",39.198682456,-74.749126194
"600",39.198682456,-74.748126194
"601",39.198682456,-74.747126194
"602",39.198682456,-74.746126194
"603",39.198682456,-74.745126194
"604",39.198682456,-74.744126194
"605",39.198682456,-74.743126194
"606",39.198682456,-74.742126194
"607",39.198682456,-74.741126194
"608",39.198682456,-74.740126194
"609",39.198682456,-74.739126194
"610",39.198682456,-74.738126194
"611",39.198682456,-74.737126194
"612",39.198682456,-74.736126194
"613",39.198682456,-74.735126194
"614",39.198682456,-74.734126194
"615",39.198682456,-74.733126194
"616",39.198682456,-74.732126194
"617",39.198682456,-74.731126194
"618",39.198682456,-74.730126194
"619",39.198682456,-74.729126194
"620",39.198682456,-74.728126194
"621",39.198682456,-74.727126194
"622",39.198682456,-74.726126194
"623",39.198682456,-74.725126194
"624",39.198682456,-74.724126194
"625",39.198682456,-74.723126194
"626",39.198682456,-74.722126194
"627",39.198682456,-74.721126194
"628",39.198682456,-74.720126194
"629",39.198682456,-74.719126194
"630",39.198682456,-74.718126194
"631",39.198682456,-74.717126194
"632",39.198682456,-74.716126194
"633",39.198682456,-74.715126194
"634",39.198682456,-74.714126194
"635",39.198682456,-74.713126194
"636",39.198682456,-74.712126194
"637",39.198682456,-74.711126194
"638",39.198682456,-74.710126194
"639",39.198682456,-74.709126194
"640",39.198682456,-74.708126194
